	ECB_00737	ECB_01992	ECB_02816	ECB_03722	acpP	appC	arcA	cycA	envZ	fabF	flgB	galF	hokB	hokD	hsdS	hslU	hupB	hyfA	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	nudC	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rfbB	rne	rplF	rpsA	rpsC	sapF	speG	spoT	thiI	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yhdJ	yieO	yihP	yjcE	yjjY	ylcG	yqeB	yqhH
ECB_00737	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
ECB_01992	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
ECB_02816	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
ECB_03722	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
acpP	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
appC	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
arcA	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	3	1	0	1	1	0	1	2	2	1	1	1	3	0	1	1	1	3	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	2	1	0	0	1	1	1
cycA	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
envZ	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
fabF	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
flgB	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
galF	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hokB	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	2	1	1	0	1	1	0	1	0	2	0	0	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1
hokD	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1
