	ECB_00737	ECB_01992	ECB_02012	ECB_02797	ECB_02816	ECB_02852	ECB_03710	ECB_03722	acpP	acs	appC	appY	arcA	blr	cirA	cls	cpsG	cpxR	cusR	cycA	envZ	fabF	flgB	flu	galF	gltA	gmhB	hokB	hokD	hpaX	hsdS	hslU	hupB	hyfA	iap	iclR	ilvL	infB	infC	lacZ	lon	lrp	malT	menC	metH	metJ	mntH	mokC	mreB	mreC	mtlD	nadR	narZ	nudC	oppD	pbpC	pflB	phoH	phoR	plsB	prlA	proX	pykA	pykF	rbsA	rbsB	rbsD	rbsR	recO	rfbB	rnb	rne	rpiR	rplF	rpsA	rpsC	sapA	sapF	speG	spoT	thiI	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybcU	ybeB	ybeM	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeF	yeeI	yeeR	yeeU	yegO	yfaQ	yfcTU	yggM	yghS	ygjD	ygjG	yhdG	yhdJ	yicL	yieO	yihP	yjcE	yjeB	yjgM	yjgN	yjiX	yjjY	ylcG	yoaE	yqeB	yqhH	yrbA
gmhB	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
hokB	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	2	1	1	0	2	0	1	0	1	0	0	1	0	1	1	0	2	0	0	1	1	0	0	0	0	2	1	0	1	0	1	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	2	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	1	1
hokD	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
hpaX	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
hsdS	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hslU	1	1	1	1	2	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	5	1	2	2	1	1	1	3	1	3	1	1	3	3	1	1	4	1	1	1	1	2	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
hupB	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
hyfA	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
iap	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
iclR	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	0	2	1	1	1	0	1	2	1	0	2	5	1	1	0	1	1	2	1	1	1	1	2	0	2	1	1	2	3	0	1	3	0	1	0	1	2	1	1	1	0	1	1	5	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	0	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	3	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1
ilvL	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
infB	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	1	0	2	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
infC	0	1	1	0	2	0	0	1	0	2	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	2	1	1	1	1	0	0	1	0	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0
lacZ	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1
lon	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
lrp	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
malT	1	0	1	1	1	0	1	0	1	1	1	0	3	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	3	1	0	1	2	1	0	1	1	1	1	1	1	3	0	0	2	1	1	0	3	1	0	1	0	1	1	0	0	1	1	0	3	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	2	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	2	1	1	2	1	0	1	1	1	0	0	1	1	1	1	1
menC	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
metH	1	0	1	1	1	0	1	0	1	1	1	0	3	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	3	1	0	1	2	1	0	1	1	1	1	3	1	1	0	0	2	1	1	0	3	1	0	1	0	1	1	0	0	1	1	0	3	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	2	0	0	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	2	1	1	2	1	0	1	1	1	0	0	1	1	1	1	1
metJ	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mntH	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
mokC	1	0	1	0	1	1	1	0	1	1	0	0	2	1	1	1	0	0	1	1	1	1	0	1	0	1	1	2	1	1	1	3	1	1	1	2	0	1	1	1	0	0	2	1	2	1	0	1	0	1	1	2	1	0	1	0	2	1	0	1	1	1	1	3	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	2	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	2	0	0	1	1	0	1	0	1	1	0	1	1
mreB	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	3	0	0	0	3	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	2	0	1	0	1	0	0	1	0	0	0	0	3	1	1	1	0	0	0	1	0	0	1	1	1	0	1	1	2	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0
mreC	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
mtlD	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
nadR	1	1	1	1	2	0	1	1	1	2	1	1	3	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	4	1	0	1	3	1	1	2	1	1	1	3	1	3	0	1	2	2	1	0	1	1	1	1	1	1	1	1	0	1	1	0	4	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	3	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1
narZ	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
nudC	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
