	ECB_00737	ECB_01992	ECB_02816	ECB_03722	acpP	appC	arcA	cycA	envZ	fabF	flgB	hokB	hokD	hslU	hupB	hyfA	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rfbB	rne	rplF	rpsA	rpsC	sapF	speG	spoT	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yebY	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yieO	yihP	ylcG	yqeB
yceK	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ycfC	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yebY	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yecE	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yeeR	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yeeU	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yfaQ	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
yfcTU	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0
yggM	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
ygjD	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
yhdG	0	1	1	1	0	0	1	0	1	1	0	0	0	3	0	0	1	2	1	2	1	1	0	2	1	2	1	0	1	3	0	1	1	0	1	0	1	0	1	1	0	2	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0
yieO	1	0	1	0	1	0	2	1	1	0	0	1	1	2	1	0	1	0	0	1	2	1	1	0	1	2	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0
yihP	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ylcG	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
yqeB	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
