	ECB_01992	mreB	mreC	nadR	prlA	pykF	rbsB	rbsD	rbsR	spoT	trkH	ybeB	yfaQ	yhdG	yieO
ECB_01992	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0
mreB	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0
mreC	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
nadR	0	0	1	1	1	2	0	0	0	0	0	0	0	0	2
prlA	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
pykF	1	2	1	2	1	1	1	1	0	2	1	0	0	1	2
rbsB	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0
rbsD	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
rbsR	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
spoT	1	1	0	0	0	2	1	0	0	1	0	0	0	1	0
trkH	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
ybeB	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
yfaQ	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
yhdG	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0
yieO	0	0	1	2	1	2	0	0	0	0	0	0	0	0	1
