	ECB_01992	ECB_03722	acpP	appC	arcA	cycA	fabF	flgB	hokB	hokD	hslU	iap	iclR	infB	infC	malT	metH	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rplF	rpsA	rpsC	sapF	speG	spoT	thrA	trkH	wzy	ybaE	ybaL	ybbN	ybeB	ybhP	ycdM	yceK	ycfC	yecE	yeeR	yeeU	yfaQ	yfcTU	yggM	ygjD	yhdG	yieO	yihP	ylcG
rbsA	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
rbsB	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
rbsD	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
rbsR	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
rplF	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
rpsA	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
rpsC	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sapF	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
speG	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
spoT	1	1	0	1	2	0	0	1	0	0	3	1	0	1	2	1	2	0	2	1	3	1	0	1	3	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	2	1	1	1
thrA	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
trkH	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
wzy	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ybaE	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ybaL	0	0	0	1	1	0	1	1	1	0	2	0	1	1	0	0	1	1	1	0	1	0	0	0	2	1	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
ybbN	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
ybeB	0	0	1	0	1	1	1	0	2	1	2	0	1	1	0	1	0	2	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0
ybhP	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ycdM	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
yceK	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ycfC	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
yecE	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
yeeR	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
yeeU	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
yfaQ	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
yfcTU	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0
yggM	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
ygjD	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
yhdG	1	1	0	0	1	0	1	0	0	0	3	1	1	1	2	1	1	0	2	1	2	1	0	1	3	0	1	1	0	1	0	1	1	0	2	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1
yieO	0	0	1	0	2	1	0	0	1	1	2	1	0	0	1	2	1	1	0	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1
yihP	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ylcG	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1
