	ECB_01992	acpP	appC	arcA	cycA	fabF	flgB	hokB	hokD	hslU	iclR	infC	malT	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rplF	rpsA	rpsC	spoT	trkH	ybaL	ybeB	ycdM	yeeR	yeeU	yfaQ	yfcTU	ygjD	yhdG	yieO	ylcG
ECB_01992	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
acpP	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
appC	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
arcA	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
cycA	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
fabF	0	0	0	0	0	1	0	1	0	2	2	0	0	0	1	0	0	0	0	0	2	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0
flgB	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
hokB	0	1	0	0	1	1	0	1	1	2	1	0	1	1	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	2	1	1	1	1	1	0	0	1	0
hokD	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
hslU	1	1	1	1	1	2	1	2	1	1	2	2	1	1	3	1	4	1	1	1	6	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	1	2	2	1
iclR	0	0	0	0	0	2	0	1	0	2	1	0	0	0	1	0	0	0	0	0	2	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0
infC	1	0	0	1	0	0	0	0	0	2	0	1	0	0	1	1	2	1	0	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1
malT	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
mokC	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
mreB	1	0	1	0	0	1	1	0	0	3	1	1	0	0	1	0	2	0	0	0	3	1	1	1	0	1	1	1	2	1	1	0	0	0	0	0	0	0	2	0	0
mreC	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
nadR	1	1	1	1	1	0	1	1	1	4	0	2	1	1	2	1	1	1	1	1	4	1	1	0	0	0	1	0	3	0	1	1	0	1	1	0	1	1	1	2	1
oppD	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
phoH	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0
prlA	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
pykF	1	1	1	1	1	2	1	2	1	6	2	2	1	1	3	1	4	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	1	1	2	2	1
rbsA	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
rbsB	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
rbsD	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
