	ECB_01992	acpP	appC	arcA	cycA	fabF	flgB	hokB	hokD	hslU	iclR	infB	infC	malT	mokC	mreB	mreC	nadR	oppD	phoH	prlA	pykF	rbsA	rbsB	rbsD	rbsR	rplF	rpsA	rpsC	sapF	speG	spoT	trkH	ybaL	ybeB	ycdM	ycfC	yeeR	yeeU	yfaQ	yfcTU	ygjD	yhdG	yieO	yihP	ylcG
rplF	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
rpsA	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
rpsC	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
sapF	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
speG	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
spoT	1	0	1	2	0	0	1	0	0	3	0	0	2	0	0	2	1	3	1	0	1	3	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	2	1	1	1
trkH	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ybaL	0	0	1	1	0	1	1	1	0	2	1	1	0	0	1	1	0	1	0	0	0	2	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0
ybeB	0	1	0	0	1	1	0	2	1	2	1	1	0	1	2	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0
ycdM	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0
ycfC	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0
yeeR	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0
yeeU	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0
yfaQ	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0
yfcTU	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0
ygjD	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1
yhdG	1	0	0	1	0	1	0	0	0	3	1	0	2	0	0	2	1	2	1	0	1	3	0	1	1	0	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	1	1	1	0	1
yieO	0	1	0	1	1	0	0	1	1	2	0	0	1	1	1	0	1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1
yihP	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ylcG	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1
